id,school,unit,description,participating,operating_weeks,degree,credit,year_began,url,location,lng,lat,connections,connections_notes,image_url,comment
SA1,C.V. Starr Schools Abroad,"Argentina—Cordoba
","Córdoba is located at the base of the Andes known as the Sierra Chica, at the northern tip of a triangle between Santiago, Chile and Buenos Aires.",56,15,no,yes,1945,http://www.middlebury.edu/study-abroad/argentina,"Cordoba, Argentina",-31.4167,-64.1833,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/Cordoba.jpg,
SA2,C.V. Starr Schools Abroad,Argentina—Buenos Aires,"The capital city, Buenos Aires, famous for its 47 historically and culturally distinctive neighborhoods such as La Boca and La Recoleta, is arguably the most cosmopolitan city on the continent.",33,15,no,yes,1973,http://www.middlebury.edu/study-abroad/argentina,"Buenos Aires, Argentina",-34.6033,-58.3817,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/BuenosAires2.jpg,
SA3,C.V. Starr Schools Abroad,36 schools in 16 countries,"Many of our students major in disciplines other than foreign languages, yet all bring a level of proficiency that supports their commitment to language and cultural immersion. They sign and honor the Middlebury Language Pledge because they want the greatest possible challenge in a study abroad program.",300,32,no,yes,1970,http://www.middlebury.edu/study-abroad,"Middlebury, Vermont",44.0019,-73.1456,5A;5B;5C;8A,LS student study through Schools Abroad; MAIEM practica at Schools Abroad | MA enrollment at MIIS by SA alums,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/SA%20Viewbook.jpg,
SA4,C.V. Starr Schools Abroad,Brazil—Belo Horizonte,Brazil offers an ideal setting for students of Portuguese to improve their language skills by enrolling directly in the university alongside their Brazilian peers and to immerse themselves in one of the world's most captivating societies.,8,36,no,yes,1970,http://www.middlebury.edu/study-abroad/brazil,Brazil,-19.912998,-43.940933,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/Brazil%20screenshot.png,
SA5,C.V. Starr Schools Abroad,Brazil—Florianópolis,Brazil offers an ideal setting for students of Portuguese to improve their language skills by enrolling directly in the university alongside their Brazilian peers and to immerse themselves in one of the world's most captivating societies.,8,36,no,yes,1970,http://www.middlebury.edu/study-abroad/brazil,Brazil,-27.5935,-48.55854,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/Florianopolis.jpg,
SA6,C.V. Starr Schools Abroad,Brazil—Niterói,Brazil offers an ideal setting for students of Portuguese to improve their language skills by enrolling directly in the university alongside their Brazilian peers and to immerse themselves in one of the world's most captivating societies.,8,36,no,yes,1970,http://www.middlebury.edu/study-abroad/brazil,Brazil,-22.752754,-42.864876,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/SA%20Viewbook.jpg,
SA7,C.V. Starr Schools Abroad,Cameroon—Yaoundé,"Cameroon is often described as 'Africa in miniature' because it exhibits all major climates of the continent. Home to roughly 240 ethnic groups, with as many distinct languages and dialects, diversity abounds.",4,36,no,yes,1970,http://www.middlebury.edu/study-abroad/cameroon,Cameroon,3.873659,11.515614,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/Yaounde.jpeg,
SA8,C.V. Starr Schools Abroad,Chile—Concepción,"At the School in Chile, students have the option of directly enrolling in eleven different universities in six distinct study abroad locations. Each city has its own unique local flavor, and often its own climate.",6,36,no,yes,1970,http://www.middlebury.edu/study-abroad/chile,Chile,-36.802834,-72.993164,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/Concepcion.jpg,
SA9,C.V. Starr Schools Abroad,Chile—La Serena,"At the School in Chile, students have the option of directly enrolling in eleven different universities in six distinct study abroad locations. Each city has its own unique local flavor, and often its own climate.",6,36,no,yes,1970,http://www.middlebury.edu/study-abroad/chile,Chile,-36.802834,-72.993164,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/LA%20SERENA%20Campus%20Casa%20Centrale%202.jpg,
SA10,C.V. Starr Schools Abroad,Chile—Santiago,"At the School in Chile, students have the option of directly enrolling in eleven different universities in six distinct study abroad locations. Each city has its own unique local flavor, and often its own climate.",6,36,no,yes,1970,http://www.middlebury.edu/study-abroad/chile,Chile,-33.447487,-70.673676,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/Santiago.jpeg,
SA11,C.V. Starr Schools Abroad,Chile—Temuco,"At the School in Chile, students have the option of directly enrolling in eleven different universities in six distinct study abroad locations. Each city has its own unique local flavor, and often its own climate.",6,36,no,yes,1970,http://www.middlebury.edu/study-abroad/chile,Chile,-38.7478,-72.5989468,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/temuco.jpeg,
SA12,C.V. Starr Schools Abroad,Chile—Valdivia,"At the School in Chile, students have the option of directly enrolling in eleven different universities in six distinct study abroad locations. Each city has its own unique local flavor, and often its own climate.",6,36,no,yes,1970,http://www.middlebury.edu/study-abroad/chile,Chile,-39.819588,-73.245209,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/Valdivia.jpeg,
SA13,C.V. Starr Schools Abroad,Chile—Valparaíso,"At the School in Chile, students have the option of directly enrolling in eleven different universities in six distinct study abroad locations. Each city has its own unique local flavor, and often its own climate.",6,36,no,yes,1970,http://www.middlebury.edu/study-abroad/chile,Chile,-33.03558,-71.626953,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/Valparaiso.jpeg,
SA14,C.V. Starr Schools Abroad,China—Beijing,"The Middlebury C.V. Starr School in China, in cooperation with CET Academic Programs, offers immersion opportunities in the language and culture in three distinct study abroad locations: Beijing, Hangzhou, and Kunming.",12,36,no,yes,1970,http://www.middlebury.edu/study-abroad/china,China,39.925011,116.449242,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/Beijing.JPG,
SA15,C.V. Starr Schools Abroad,China—Hangzhou,"The Middlebury C.V. Starr School in China, in cooperation with CET Academic Programs, offers immersion opportunities in the language and culture in three distinct study abroad locations: Beijing, Hangzhou, and Kunming.",12,36,no,yes,1970,http://www.middlebury.edu/study-abroad/china,China,33.868134,109.947739,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/Hangzhou.jpg,
SA16,C.V. Starr Schools Abroad,China—Kunming,"The Middlebury C.V. Starr School in China, in cooperation with CET Academic Programs, offers immersion opportunities in the language and culture in three distinct study abroad locations: Beijing, Hangzhou, and Kunming.",12,36,no,yes,1970,http://www.middlebury.edu/study-abroad/china,China,24.919493,102.478493,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/Kunming.jpg,
SA17,C.V. Starr Schools Abroad,France—Bordeaux,"Designed for students at an advanced level of French, the Middlebury School in France provides opportunities to experience French culture in one of three locations: Bordeaux, Paris, and Poitiers.",9,36,no,yes,1970,http://www.middlebury.edu/study-abroad/france,France,44.836151,-0.580816,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/France_map.jpg,
SA18,C.V. Starr Schools Abroad,France—Paris,"Designed for students at an advanced level of French, the Middlebury School in France provides opportunities to experience French culture in one of three locations: Bordeaux, Paris, and Poitiers.",9,36,no,yes,1970,http://www.middlebury.edu/study-abroad/france,France,48.864716,2.349014,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/France_map.jpg,
